name,loaning_club,player_value_in_moment_of_transfer,league,year
Haji Mnoga,FC Gillingham,100 tys. €,GB4,2022
Charlie Owens,Colchester United,100 tys. €,GB4,2022
Vitezslav Jaros,Stockport County,100 tys. €,GB4,2022
Aribim Pepple,Grimsby Town,75 tys. €,GB4,2022
Jacob Chapman,Salford City,75 tys. €,GB4,2022
Robbie Willmott,FC Walsall,50 tys. €,GB4,2022
Glenn Morris,FC Gillingham,50 tys. €,GB4,2022
Chanka Zimba,Newport County,50 tys. €,GB4,2022
Stephen Duke-McKenna,Leyton Orient,50 tys. €,GB4,2022
Charley Kendall,Sutton United,50 tys. €,GB4,2022
Kian Harratt,Bradford City,50 tys. €,GB4,2022
Sonny Hilton,Carlisle United,25 tys. €,GB4,2022
Matty Foulds,Harrogate Town,-,GB4,2022
Sam Pearson,AFC Wimbledon,-,GB4,2022
Scott Quigley,AFC Rochdale,-,GB4,2022
Tristan Abrahams,FC Gillingham,-,GB4,2022
Duncan Idehen,Carlisle United,-,GB4,2022
Jayden Wareham,Leyton Orient,-,GB4,2022
Cieran Slicker,AFC Rochdale,-,GB4,2022
Taye Ashby-Hammond,FC Stevenage,-,GB4,2022
David Robson,Crawley Town,-,GB4,2022
Danny Cashman,FC Walsall,-,GB4,2022
Jay Turner-Cooke,Tranmere Rovers,-,GB4,2022
Riley Harbottle,Mansfield Town,-,GB4,2022
Mikey O'Neill,Grimsby Town,-,GB4,2022
Tayt-Lemar Trusty,Hartlepool United,-,GB4,2022
Taylor Foran,Hartlepool United,-,GB4,2022
Josh Andrews,Doncaster Rovers,-,GB4,2022
Nathan Moriah-Welsh,Newport County,-,GB4,2022
Dylan Kadji,Swindon Town,-,GB4,2022
Connor Wood,Colchester United,-,GB4,2022
Rollin Menayese,Hartlepool United,-,GB4,2022
Ben Nelson,AFC Rochdale,-,GB4,2022
John McAtee,Grimsby Town,-,GB4,2022
Alfie McCalmont,Carlisle United,-,GB4,2022
Ben Nelson,Doncaster Rovers,-,GB4,2022
Tom Smith,Colchester United,-,GB4,2022
Joe Low,FC Walsall,-,GB4,2022
Nathan Young-Coombes,AFC Wimbledon,-,GB4,2022
Joe O'Shaughnessy,Bradford City,-,GB4,2022
Liam Bennett,FC Walsall,-,GB4,2022
Jake Young,AFC Barrow,-,GB4,2022
Matthew Baker,Newport County,-,GB4,2022
Giosue Bellagambi,Salford City,-,GB4,2022
Elkan Baggott,FC Gillingham,-,GB4,2022
Mazeed Ogungbo,Crawley Town,-,GB4,2022
Owen Dodgson,AFC Rochdale,-,GB4,2022
Lorent Tolaj,Salford City,-,GB4,2022
James Balagizi,Crawley Town,-,GB4,2022
Will Swan,Mansfield Town,-,GB4,2022
Fin Back,Carlisle United,-,GB4,2022
Brendan Kiernan,Grimsby Town,-,GB4,2022
Jack Robinson,Carlisle United,-,GB4,2022
Ryan Law,FC Gillingham,-,GB4,2022
Andy Smith,Grimsby Town,-,GB4,2022
Jaheim Headley,Harrogate Town,-,GB4,2022
Ben Barclay,Carlisle United,-,GB4,2022
Saxon Earley,FC Stevenage,-,GB4,2022
Todd Miller,Doncaster Rovers,-,GB4,2022
James Beadle,Crewe Alexandra,-,GB4,2022
Sam McClelland,AFC Barrow,-,GB4,2022
Thierry Nevers,Newport County,-,GB4,2022
Douglas James-Taylor,FC Walsall,-,GB4,2022
Tyreik Wright,Bradford City,-,GB4,2022
