name,loaning_club,player_value_in_moment_of_transfer,league,year,market_value_in_eur
Kaine Kesler-Hayden,Milton Keynes Dons,250 tys. €,GB3,2021,1500000.0
Kaine Kesler-Hayden,Swindon Town,250 tys. €,GB4,2021,1500000.0
Xavier Simons,Hull City,300 tys. €,GB2,2022,500000.0
Martyn Waghorn,Huddersfield Town,300 tys. €,GB2,2022,300000.0
Emmanuel Longelo,Birmingham City,150 tys. €,GB2,2022,800000.0
Salah-Eddine Oulad M'Hand,Hull City,-,GB2,2022,800000.0
Tayo Adaramola,Coventry City,-,GB2,2022,1500000.0
Armstrong Oko-Flex,Swansea City,-,GB2,2022,500000.0
Shola Shoretire,Bolton Wanderers,"4,00 mln €",GB3,2022,4000000.0
Di'Shon Bernard,FC Portsmouth,"3,50 mln €",GB3,2022,3500000.0
Di'Shon Bernard,Hull City,"1,00 mln €",GB2,2021,3500000.0
Di'Shon Bernard,Salford City,"1,00 mln €",GB4,2020,3500000.0
Tom Edwards,FC Barnsley,"2,00 mln €",GB3,2022,2000000.0
Tom Edwards,Fleetwood Town,"1,20 mln €",GB3,2020,2000000.0
Steven Sessegnon,Charlton Athletic,"1,50 mln €",GB3,2022,700000.0
Steven Sessegnon,Plymouth Argyle,"1,50 mln €",GB3,2021,700000.0
Steven Sessegnon,Bristol City,"2,30 mln €",GB2,2020,700000.0
Dan N'Lundulu,Cheltenham Town,"1,20 mln €",GB3,2022,1200000.0
Dan N'Lundulu,Bolton Wanderers,"1,20 mln €",GB3,2022,1200000.0
Dan N'Lundulu,Lincoln City,"1,50 mln €",GB3,2021,1200000.0
Dan N'Lundulu,Cheltenham Town,"1,50 mln €",GB3,2021,1200000.0
Myles Peart-Harris,Forest Green Rovers,"1,00 mln €",GB3,2022,1000000.0
Dynel Simeu,FC Morecambe,"1,00 mln €",GB3,2022,1000000.0
Dynel Simeu,Tranmere Rovers,"1,00 mln €",GB4,2022,1000000.0
Dynel Simeu,Carlisle United,"1,00 mln €",GB4,2021,1000000.0
Lewis Bate,Oxford United,"1,00 mln €",GB3,2022,1000000.0
Louie Barry,Milton Keynes Dons,"1,00 mln €",GB3,2022,1000000.0
Louie Barry,Salford City,"1,00 mln €",GB4,2022,1000000.0
Louie Barry,Ipswich Town,"1,00 mln €",GB3,2021,1000000.0
Louie Barry,Swindon Town,"1,00 mln €",GB4,2021,1000000.0
Conor Bradley,Bolton Wanderers,"1,00 mln €",GB3,2022,1000000.0
Sam Cosgrove,Plymouth Argyle,"1,00 mln €",GB3,2022,1000000.0
Sam Cosgrove,Shrewsbury Town,"1,50 mln €",GB3,2021,1000000.0
Sam Cosgrove,AFC Wimbledon,"1,50 mln €",GB3,2021,1000000.0
Tashan Oakley-Boothe,Lincoln City,900 tys. €,GB3,2022,450000.0
Taylor Moore,Shrewsbury Town,800 tys. €,GB3,2022,600000.0
Taylor Moore,FC Blackpool,"1,00 mln €",GB3,2019,600000.0
Taylor Moore,Southend United,500 tys. €,GB3,2018,600000.0
Henry Lawrence,Milton Keynes Dons,800 tys. €,GB3,2022,800000.0
Henry Lawrence,AFC Wimbledon,-,GB3,2021,800000.0
Tyreece John-Jules,Ipswich Town,800 tys. €,GB3,2022,800000.0
Tyreece John-Jules,FC Blackpool,-,GB2,2021,800000.0
Tyreece John-Jules,Sheffield Wednesday,700 tys. €,GB3,2021,800000.0
Tyreece John-Jules,Doncaster Rovers,-,GB3,2020,800000.0
Tyreece John-Jules,Lincoln City,-,GB3,2019,800000.0
Rekeem Harper,Exeter City,800 tys. €,GB3,2022,800000.0
Rekeem Harper,Crewe Alexandra,"2,50 mln €",GB3,2021,800000.0
Rekeem Harper,Birmingham City,"2,30 mln €",GB2,2020,800000.0
Josh Martin,FC Barnsley,800 tys. €,GB3,2022,800000.0
Josh Martin,Milton Keynes Dons,"1,00 mln €",GB3,2021,800000.0
Josh Martin,Doncaster Rovers,"1,00 mln €",GB3,2021,800000.0
Slobodan Tedic,FC Barnsley,750 tys. €,GB3,2022,750000.0
Alex Mighten,Sheffield Wednesday,600 tys. €,GB3,2022,600000.0
Luke Plange,Lincoln City,600 tys. €,GB3,2022,600000.0
Luke Plange,Derby County,-,GB2,2021,600000.0
Harvey White,Derby County,600 tys. €,GB3,2022,600000.0
Harvey White,FC Portsmouth,-,GB3,2020,600000.0
Reece James,Sheffield Wednesday,600 tys. €,GB3,2022,600000.0
Reece James,Sheffield Wednesday,600 tys. €,GB3,2022,70000000.0
Reece James,Wigan Athletic,-,GB2,2018,600000.0
Reece James,Wigan Athletic,-,GB2,2018,70000000.0
Charlie Savage,Forest Green Rovers,600 tys. €,GB3,2022,600000.0
Jesurun Rak-Sakyi,Charlton Athletic,500 tys. €,GB3,2022,500000.0
Liam McCarron,Port Vale FC,500 tys. €,GB3,2022,500000.0
Haydon Roberts,Derby County,500 tys. €,GB3,2022,500000.0
Haydon Roberts,AFC Rochdale,-,GB3,2020,500000.0
Lewis Gibson,Bristol Rovers,500 tys. €,GB3,2022,500000.0
Lewis Gibson,Sheffield Wednesday,500 tys. €,GB3,2021,500000.0
Lewis Gibson,FC Reading,-,GB2,2020,500000.0
Lewis Gibson,Fleetwood Town,-,GB3,2019,500000.0
Chem Campbell,Wycombe Wanderers,500 tys. €,GB3,2022,500000.0
Luke Southwood,Cheltenham Town,500 tys. €,GB3,2022,500000.0
Tyler Onyango,Forest Green Rovers,450 tys. €,GB3,2022,450000.0
Tyler Onyango,Burton Albion,200 tys. €,GB3,2022,450000.0
Owen Beck,Bolton Wanderers,400 tys. €,GB3,2022,400000.0
Bali Mumba,Plymouth Argyle,400 tys. €,GB3,2022,400000.0
Bali Mumba,Peterborough United,500 tys. €,GB2,2021,400000.0
Todd Kane,Charlton Athletic,400 tys. €,GB3,2022,400000.0
Todd Kane,Hull City,"1,25 mln €",GB2,2018,400000.0
Julien Da Costa,Shrewsbury Town,300 tys. €,GB3,2022,300000.0
Liam Shaw,FC Morecambe,300 tys. €,GB3,2022,300000.0
Lewis Dobbin,Derby County,300 tys. €,GB3,2022,300000.0
Mipo Odubeko,Port Vale FC,300 tys. €,GB3,2022,300000.0
Mipo Odubeko,Huddersfield Town,250 tys. €,GB2,2021,300000.0
Mipo Odubeko,Doncaster Rovers,300 tys. €,GB3,2021,300000.0
Nigel Lonwijk,Plymouth Argyle,300 tys. €,GB3,2022,300000.0
Matt Macey,FC Portsmouth,300 tys. €,GB3,2022,300000.0
Matt Macey,Plymouth Argyle,500 tys. €,GB3,2018,300000.0
Lamare Bogarde,Bristol Rovers,300 tys. €,GB3,2022,300000.0
Jamie Cumming,Milton Keynes Dons,300 tys. €,GB3,2022,900000.0
Jamie Cumming,Milton Keynes Dons,300 tys. €,GB3,2021,900000.0
Jamie Cumming,FC Gillingham,300 tys. €,GB3,2021,900000.0
Jamie Cumming,FC Stevenage,450 tys. €,GB4,2020,900000.0
Conor McGrandles,Cambridge United,300 tys. €,GB3,2022,300000.0
Ellery Balcombe,Bristol Rovers,300 tys. €,GB3,2022,300000.0
Ellery Balcombe,Crawley Town,300 tys. €,GB4,2022,300000.0
Ellery Balcombe,Burton Albion,300 tys. €,GB3,2021,300000.0
Ellery Balcombe,Doncaster Rovers,300 tys. €,GB3,2020,300000.0
Oliver Casey,Forest Green Rovers,250 tys. €,GB3,2022,250000.0
Caleb Taylor,Cheltenham Town,250 tys. €,GB3,2022,250000.0
Caleb Watts,FC Morecambe,250 tys. €,GB3,2022,250000.0
Caleb Watts,Crawley Town,250 tys. €,GB4,2021,250000.0
Dane Scarlett,FC Portsmouth,250 tys. €,GB3,2022,2000000.0
Sylvester Jasper,Bristol Rovers,250 tys. €,GB3,2022,250000.0
Sylvester Jasper,Colchester United,250 tys. €,GB4,2021,250000.0
Christian Marques,Forest Green Rovers,200 tys. €,GB3,2022,200000.0
Luke McGee,Derby County,200 tys. €,GB3,2022,200000.0
Luke McGee,Bradford City,100 tys. €,GB4,2019,200000.0
Viljami Sinisalo,Burton Albion,200 tys. €,GB3,2022,200000.0
Jakub Stolarczyk,Fleetwood Town,200 tys. €,GB3,2022,200000.0
Jakub Stolarczyk,Hartlepool United,200 tys. €,GB4,2022,200000.0
Paris Maghoma,Milton Keynes Dons,200 tys. €,GB3,2022,200000.0
Paris Maghoma,AFC Wimbledon,200 tys. €,GB4,2022,200000.0
Will Norris,Peterborough United,200 tys. €,GB3,2022,200000.0
Will Norris,Ipswich Town,250 tys. €,GB3,2019,200000.0
Bobby Thomas,Bristol Rovers,150 tys. €,GB3,2022,150000.0
Bobby Thomas,FC Barnsley,150 tys. €,GB3,2022,150000.0
Bobby Thomas,AFC Barrow,200 tys. €,GB4,2020,150000.0
Jensen Weir,FC Morecambe,150 tys. €,GB3,2022,350000.0
Jensen Weir,Cambridge United,150 tys. €,GB3,2021,350000.0
Kgaogelo Chauke,Exeter City,150 tys. €,GB3,2022,250000.0
Harry Boyes,Lincoln City,100 tys. €,GB3,2022,100000.0
Harry Boyes,Forest Green Rovers,-,GB3,2022,100000.0
Thierry Small,Port Vale FC,100 tys. €,GB3,2022,1000000.0
Joseph Anang,Derby County,100 tys. €,GB3,2022,100000.0
Joseph Anang,FC Stevenage,-,GB4,2021,100000.0
Harry Smith,Exeter City,50 tys. €,GB3,2022,50000.0
Christian Saydee,Shrewsbury Town,50 tys. €,GB3,2022,50000.0
Christian Saydee,Burton Albion,50 tys. €,GB3,2021,50000.0
Lukas Jensen,Accrington Stanley,50 tys. €,GB3,2022,200000.0
Lukas Jensen,Carlisle United,25 tys. €,GB4,2021,200000.0
Lukas Jensen,Bolton Wanderers,25 tys. €,GB4,2020,200000.0
William Osula,Derby County,-,GB3,2022,
Lucas Bergström,Peterborough United,-,GB3,2022,250000.0
