,name,loaning_club,player_value_in_moment_of_transfer,league,year,market_value_in_eur
1002,Cameron Borthwick-Jackson,Tranmere Rovers,1000000,GB3,2019,300000.0
1003,Cameron Borthwick-Jackson,Oldham Athletic,1000000,GB4,2019,300000.0
1004,Cameron Borthwick-Jackson,Scunthorpe United,3000000,GB3,2018,300000.0
1007,Ross McCrorie,FC Portsmouth,1000000,GB3,2019,750000.0
1008,James Husband,FC Blackpool,1000000,GB3,2019,600000.0
1009,James Husband,Fleetwood Town,1000000,GB3,2018,600000.0
1010,Marc McNulty,AFC Sunderland,1000000,GB3,2019,500000.0
1011,Laurens De Bock,AFC Sunderland,1000000,GB3,2019,600000.0
1012,Luke Garbutt,Ipswich Town,750000,GB3,2019,300000.0
1013,Luke Garbutt,Oxford United,1000000,GB3,2018,300000.0
1014,Marcus Browne,Oxford United,750000,GB3,2019,300000.0
1015,Marcus Browne,Oxford United,250000,GB3,2018,300000.0
1016,Chris Cadden,Oxford United,700000,GB3,2019,650000.0
1017,Conor McAleny,Shrewsbury Town,500000,GB3,2019,400000.0
1018,Connor Ronan,FC Blackpool,500000,GB3,2019,800000.0
1019,Connor Ronan,FC Walsall,250000,GB3,2018,800000.0
1020,Rolando Aarons,Wycombe Wanderers,500000,GB3,2019,300000.0
1021,Rolando Aarons,Sheffield Wednesday,500000,GB2,2018,300000.0
1022,Marc Bola,FC Blackpool,500000,GB3,2019,1800000.0
1023,Ben Heneghan,FC Blackpool,500000,GB3,2019,300000.0
1024,Ben Heneghan,FC Blackpool,400000,GB3,2018,300000.0
1025,Antoine Semenyo,AFC Sunderland,500000,GB3,2019,3000000.0
1026,Antoine Semenyo,Newport County,-,GB4,2018,3000000.0
1027,Jason McCarthy,Wycombe Wanderers,500000,GB3,2019,350000.0
1030,Cameron McGeehan,FC Portsmouth,500000,GB3,2019,600000.0
1031,Jordan Rossiter,Fleetwood Town,450000,GB3,2019,250000.0
1032,Jordan Rossiter,FC Bury,450000,GB4,2018,250000.0
1033,Jake Hastie,Rotherham United,450000,GB3,2019,250000.0
1034,Courtney Baker-Richardson,Accrington Stanley,350000,GB3,2019,300000.0
1035,Mads Bech Sörensen,AFC Wimbledon,350000,GB3,2019,4000000.0
1036,Jimmy Dunne,Fleetwood Town,300000,GB3,2019,2000000.0
1037,Jimmy Dunne,AFC Sunderland,300000,GB3,2018,2000000.0
1038,Josh Ginnelly,Bristol Rovers,250000,GB3,2019,500000.0
1039,Sean Raggett,FC Portsmouth,250000,GB3,2019,350000.0
1040,Sean Raggett,Rotherham United,250000,GB2,2018,350000.0
1041,Conor Shaughnessy,Burton Albion,250000,GB3,2019,250000.0
1042,Conor Shaughnessy,Mansfield Town,250000,GB4,2019,250000.0
1043,Kean Bryan,Bolton Wanderers,250000,GB3,2019,900000.0
1045,Jordan Graham,FC Gillingham,250000,GB3,2019,300000.0
